location,bhk,total_sqft,,balcony
Rajaji Nagar,2,1092,,2
Mahadevpura,2,1143,,1
A Narayanapura,2,1024,,2
Whitefield,3,1600,,3
Poorna Pragna Layout,2,1027,,2
Gottigere,2,1076,,1
KR Puram,2,1027,,2
Whitefield,2,1084,,1
HSR Layout,2,1300,,2
Haralur Road,2,1027,,2
Silk Board,3,1245,,1
Hegde Nagar,2,1027,,1
Kenchenahalli,2,1110,,1
Kaggalipura,4,2100,,1
Whitefield,2,1027,,2
7th Phase JP Nagar,1,720,,1
Puttanahalli,2,1027,,2
JP Nagar,2,1162,,1
Hebbal Kempapura,2,1041,,1
Hosa Road,3,1535,,2
Bhoganhalli,3,1535,,2
Yeshwanthpur,3,1535,,2
Hormavu,3,1564,,1
Virat Nagar,2,1238,,3
Hulimavu,3,1335,,2
Bannerghatta Road,1,703,,1
Marathahalli,3,1535,,2
Kundalahalli Colony,3,1532,,2
Kathriguppe,2,1113,,1
Dwarka Nagar,2,1185,,1
Amblipura,2,1215,,1
Magadi Road,2,812,,1
Subramanyapura,2,1547,,2
Doddagubbi,2,1336,,1
Gopalkrishna Nagar,3,1919,,2
Kereguddadahalli,2,1464,,3
Channasandra,3,1535,,2
Sarjapur  Road,3,1850,,2
Parappana Agrahara,2,940,,1
Uttarahalli,2,1215,,1
Bannerghatta Road,2,1164,,2
Sarjapur  Road,2,1183,,1
Rajaji Nagar,3,1850,,2
Raja Rajeshwari Nagar,2,1183,,1
Balagere,2,1200,,1
Dodda Nekkundi,2,1310,,2
Garudachar Palya,2,1060,,2
Chandapura,3,2200,,1.584375738
Thanisandra,3,2000,,3
Tata Nagar,2,1150,,0
Sunkadakatte,4,3500,,1
Electronic City,2,1240,,2
Raja Rajeshwari Nagar,3,1488,,2
Pattandur Agrahara,3,1486,,2
Rajarajeshwari nagar,4,2000,,1
Akshaya Nagar,2,1000,,1
Amruthahalli,2,1000,,1
AECS Layout,3,2400,,1
Gottigere,3,1310,,1
Sarjapur  Road,1,850,,1
Bannerghatta Road,7,3200,,0
Ramamurthy Nagar,3,1310,,1
Whitefield,4,2450,,2
Rajarajeshwarinagar,7,3100,,3
Budigere,3,1200,,1
Whitefield,2,1081,,3
Jinkethimmanahalli,2,1180,,2
Daadys Gaarden Layout,3,1724,,2
Whitefield,2,1030,,2
Electronic City,2,735,,1
Frazer Town,2,1047,,1
Kanakpura Road,3,1397,,3
Dasarahalli,3,1724,,2
Talaghattapura,2,1010,,1
Haralur Road,3,1397,,2
Vishwapriya Nagar,3,1397,,2
Sarjapur  Road,3,1397,,3
Abbigere,3,1920,,2
Whitefield,3,1397,,3
5th Phase JP Nagar,3,1724,,2
Vimanapura,2,1047,,1
Whitefield,2,1047,,1
Hennur Road,4,7000,,3
Whitefield,2,1120,,1
Dodsworth Layout,2,1047,,1
Bommanahalli,2,1047,,1
Kodichikkanahalli,3,1724,,1
Kenchenahalli,3,1600,,2
Magadi Road,3,1724,,1
Rajaji Nagar,2,1010,,1
Jakkur,2,1047,,1
1st Stage Radha Krishna Layout,4,2500,,2
Hormavu,3,1397,,3
Nagarbhavi,2,1047,,1
Padmanabhanagar,2,1260,,0
Whitefield,4,3092,,3
Kanakpura Road,2,1065,,1
Nagarbhavi,3,1724,,1
Marathahalli,2,1047,,2
Chandapura,3,1724,,2
Yeshwanthpur,2,1315,,3
Nagasandra,3,2100,,2
Sector 1 HSR Layout,3,1724,,1
Cunningham Road,3,1724,,3
Amarjyothi Colony,2,1175,,1
Dairy Circle,2,1280,,1
Banashankari Stage II,2,1505,,2
Yelahanka,3,2600,,2
Begur Road,3,1800,,3
Chandapura,3,1200,,0
MS Pallya,1,1200,,0
Vidyaranyapura,1,450,,1
Whitefield,2,1043,,2
Kanakpura Road,1,665,,2
Whitefield,3,1400,,2
Gunjur,2,1184,,1
Harlur,2,1000,,1
Seegehalli,1,1200,,1
Thanisandra,5,2800,,2
Jalahalli West,2,1200,,0
Kereguddadahalli,1,1500,,0
Jigani,1,620,,0
Yeshwanthpur,2,750,,1
Battarahalli,2,780,,1
Devasthanagalu,1,600,,1
Yemlur,3,1800,,3
Avalahalli,3,3000,,1
Bapuji Layout,2,1185,,2
Cambridge Layout,3,1600,,1
Ramamurthy Nagar,2,1180,,2
Yeshwanthpur,2,1172,,2
7th Phase JP Nagar,2,1179,,1
Koramangala,2,1149,,1
Kothanur,2,1336,,2
NGR Layout,2,1175,,2
Doddanekundi,2,1190,,1
Vasantapura main road,2,1200,,1
Whitefield,2,1200,,2
Kodichikkanahalli,2,1165,,2
Sector 6 HSR Layout,2,1145,,1
Yeshwanthpur,3,1500,,2
Kanakpura Road,2,1210,,2
Varthur,2,1169,,2
Basavanapura,2,1200,,1
CQAL Layout,2,1172,,1
Iblur Village,2,1172,,2
Sarjapur  Road,2,1180,,1
Koramangala,2,1200,,3
Haralur Road,2,1200,,2
Marathahalli,2,1195,,1
Panathur,2,1200,,1
Hennur Road,2,1200,,0
Yelahanka,3,2400,,2
Mathikere,2,2031,,2
Bellandur,3,1431,,2
AECS Layout,3,1535,,1
Venugopal Reddy Layout,2,1000,,0
Thanisandra,2,985,,1
Brookefield,3,1919,,0
Mysore Road,3,1614,,1
BEML Layout,2,1140,,1
Murugeshpalya,3,3100,,3
Lake City,3,1521,,1
Lakshmipura,3,1511,,1
Sarjapur  Road,3,1683,,1
Pragathi Nagar,3,1519,,1
Haralur Road,3,1521,,1
Kanakpura Road,3,1682,,1
Dasanapura,3,1521,,1
Sarjapur  Road,3,1893,,1
Hoodi,3,1705,,1
Bellandur,4,2245,,2
BTM Layout,3,1682,,1
Electronics City Phase 1,3,1682,,1
Chikkalasandra,3,1506,,1
Akshaya Nagar,3,1683,,1
Whitefield,3,1684,,1
Haralur Road,4,2236,,2
Old Town,3,1894,,1
8th Phase JP Nagar,4,2240,,2
Vijaya Bank Layout,2,1350,,1
Whitefield,2,1203,,1
Okalipura,2,800,,1
Bommasandra Industrial Area,2,1035,,2
Badavala Nagar,3,1950,,2
Sector 2 HSR Layout,2,1250,,2
Rachenahalli,3,1500,,2
Sahakara Nagar,3,1500,,2
Thanisandra,2,970,,1
Hennur Road,3,1783,,1
Whitefield,5,1800,,1
Talaghattapura,4,2400,,1
Begur,3,1250,,2
Hebbal Kempapura,3,1250,,2
Harlur,3,1250,,2
JP Nagar,2,1165,,2
Somasundara Palya,2,1116,,1
Yeshwanthpur,2,884,,1
Whitefield,2,1005,,1
Kaval Byrasandra,2,1000,,0
Hongasandra,4,1500,,2
Maruthi Extension,2,1345,,2
Vidyapeeta,2,1116,,1
Pai Layout,3,1052,,1
Hebbal,2,940,,2
Banashankari,3,1318,,1
Madiwala,2,884,,1
Haralur Road,2,1150,,3
7th Phase JP Nagar,2,1250,,3
EPIP Zone,2,1260,,3
Akshaya Nagar,1,730,,1
Rachenahalli,3,1434,,1
Horamavu Banaswadi,2,1146,,1
Kereguddadahalli,2,1532,,2
Varthur,3,1620,,1
Yelahanka,2,1136,,3
Ambalipura,3,1400,,2
Rachenahalli,2,1137,,1
BTM 2nd Stage,3,1601,,2
Ramagondanahalli,3,1450,,2
Hebbal,2,1152,,1
Ambalipura,2,1212,,1
Ramamurthy Nagar,3,1505,,2
Sarjapur,3,1500,,1
Meenakshi Layout,2,1236,,1
S R Layout,2,1236,,1
Cholanayakanahalli,2,1120,,2
GD Layout,2,1410,,2
Vittal Nagar,4,1575,,1
Iblur Village,2,1105,,1
Koramangala,3,1200,,3
Nagarbhavi,3,1876,,1
Rachenahalli,4,1500,,3
Seegehalli,6,3000,,3
Hoodi,2,1134,,1
Maruthi Sevanagar,3,1685,,2
Kengeri,3,1567,,3
Chandapura,1,485,,1
Banashankari Stage III,1,500,,1
Thigalarapalya,3,1665,,2
Thanisandra,3,1665,,2
Kaggalipura,2,1340,,2
Munnekollal,2,1325,,2
Electronic City,3,1665,,2
Ardendale,2,1325,,1
Attibele,2,905,,1
Marathahalli,2,1325,,1.584375738
Malleshpalya,2,1325,,2
RMV 2nd Stage,2,1565,,2
Kithaganur,2,905,,1
Lakshminarayana Pura,3,1100,,3
Sarjapur  Road,3,1225,,3
Dodda Nekkundi,2,1100,,2
7th Phase JP Nagar,2,1140,,2
Whitefield,2,1225,,2
Basavangudi,2,1052,,2
Ramagondanahalli,3,1405,,2
Shirdi Sai Nagar,2,1065,,2
Padmanabhanagar,2,1210,,3
Hagadur,2,1060,,1
Wilson Garden,3,1430,,1
Old Madras Road,2,1421,,1
Sarjapur  Road,2,1245,,1
Kalena Agrahara,2,1200,,2
Begur Road,2,1225,,2
"JP Nagar 7th Phase, ",1,705,,2
Ramamurthy Nagar,7,12000,,3
Raghuvanahalli,4,2500,,2
J C Nagar,3,2006,,1.584375738
Sadduguntepalya,1,686,,1
Begur Road,3,2475,,3
Chandapura,3,2610,,1.584375738
Jalahalli,3,2475,,3
Whitefield,2,900,,1
Electronic City,2,1420,,1
Hebbal,3,2000,,2
Whitefield,3,2215,,1
Vidyaranyapura,3,1600,,3
Sarjapur,3,2475,,3
KR Puram,3,2215,,1
Channasandra,1,480,,1
BTM 2nd Stage,2,1290,,1
Vishwapriya Layout,3,2475,,3
Budigere,3,2476,,3
Kanakpura Road,2,900,,1
Sarjapur  Road,3,2050,,1.584375738
Bannerghatta Road,2,900,,1
Mallathahalli,1,620,,1
Marathahalli,3,2475,,3
Nagavarapalya,3,2215,,2
Battarahalli,3,2215,,2
Yelahanka,2,1020,,1
Doddakammanahalli,3,2200,,2
Lingadheeranahalli,3,2475,,3
HMT Layout,2,1500,,1.584375738
Chikkathoguru,3,2475,,3
BEL Road,2,1400,,1
Kamakshipalya,3,2475,,3
Sarjapur  Road,3,2400,,2
Seegehalli,2,1410,,3
Yelahanka New Town,2,1100,,2
Haralur Road,2,1200,,2
Kodigehalli,2,1100,,2
Bidrahalli,2,1050,,2
Bommasandra,2,1150,,2
Raja Rajeshwari Nagar,3,1250,,2
Hoodi,2,1200,,2
Medi Agrahara,2,1140,,2
Kumaraswami Layout,3,1600,,2
Kanakpura Road,3,1508,,2
Harlur,3,1533,,2
Seegehalli,2,1307,,2
Bisuvanahalli,2,1095,,1
Kanakpura Road,3,1840,,3
Akshaya Nagar,2,1220,,1
Hormavu,2,1200,,2
Uttarahalli,2,1200,,2
4th Block Koramangala,3,1933,,2
whitefiled,2,950,,1
Cox Town,2,1230,,2
Sarjapur  Road,4,3800,,3
Banagiri Nagar,2,1019,,2
Marathahalli,2,1215,,1
Marathahalli,4,2181,,2
Subbannaiah Palya,2,1170,,3
Vadarpalya,2,1019,,2
Hegde Nagar,2,1325,,2
N R Layout,2,1220,,1
Budigere,2,1152,,1
Sarjapur  Road,3,1610,,1
Koramangala,2,1146,,1
Whitefield,3,1469,,1
Rajiv Nagar,4,2519,,2
Judicial Layout,2,957,,1
Whitefield,3,1583,,3
9th Phase JP Nagar,4,2524,,2
Kengeri,2,1071,,2
1st Phase JP Nagar,2,1215,,2
Harlur,2,1102,,2
Richards Town,3,1900,,3
Nagavarapalya,2,1045,,3
Thanisandra,2,1215,,2
Manorayana Palya,2,1365,,2
BCC Layout,2,1208,,2
Thanisandra,2,1325,,1
Varthur,3,1525,,2
Varthur,3,1937,,2
Yelahanka,3,1550,,2
Hebbal Kempapura,2,1350,,1
Jeevan bima nagar,2,957,,1
Chikkalasandra,2,1230,,1
Whitefield,2,1200,,2
Bhoganhalli,1,607,,1
Kogilu,3,1583,,3
Whitefield,2,1075,,2
Talaghattapura,2,1360,,1
Kanakapura,2,1220,,1
Begur Road,2,950,,1
Giri Nagar,1,615,,1
Marathahalli,3,1595,,2
Ramamurthy Nagar,2,1350,,1
Haralur Road,2,1020,,1
Electronic City,2,1600,,2
Vinayak Nagar,1,780,,1
Gopalapura,3,1710,,2
Kaikondrahalli,2,1358,,1
Kalyan nagar,2,1205,,1
Whitefield,3,1730,,3
Doddathoguru,3,1583,,3
Raja Rajeshwari Nagar,2,1200,,1
Kadugodi,2,1095,,1
Ramamurthy Nagar,2,1060,,1
Harlur,2,1050,,1
8th Phase JP Nagar,2,1102,,2
Dodda Nekkundi,2,1026,,1
Kada Agrahara,2,1220,,1
Basavanapura,2,881,,1
Kalyan nagar,3,1710,,2
Madanayakahalli,3,1680,,3
Akshaya Nagar,3,1910,,3
Jalahalli,2,1602,,1.584375738
KR Puram,1,700,,1
Bellandur,3,1469,,1
Thubarahalli,3,1690,,2
Thanisandra,2,1065,,2
Chandapura,3,1693,,2
Mahalakshmi Puram,3,1693,,1
Richmond Town,2,1196,,2
Mahalakshmi Puram,3,1595,,2
Kodigehalli,3,2122,,2
4th Block Koramangala,3,1730,,2
Margondanahalli,2,1125,,3
Bellandur,3,1950,,2
Kadugodi,2,1250,,2
Hebbal,2,1125,,2
Gottigere,2,1350,,1
Anandapura,2,1200,,1
Thanisandra,4,2500,,2
TC Palaya,2,957,,1
Whitefield,2,1350,,2
Bisuvanahalli,4,3400,,3
Sarjapur  Road,2,1350,,1
Jaladarsini Layout,2,1285,,2
Hebbal,4,2500,,2
Mysore Road,4,3800,,3
Kasavanhalli,4,3951,,3
Kodichikkanahalli,2,1125,,1
Marathahalli,3,1700,,2
Basavanapura,2,1270,,3
9th Phase JP Nagar,2,950,,2
Hennur Road,3,1550,,2
Thigalarapalya,2,1019,,2
Sanjay nagar,2,1144,,2
Whitefield,2,1240,,2
BTM 2nd Stage,1,1100,,1.584375738
Ramamurthy Nagar,2,1156,,2
Munnekollal,4,2524,,2
Electronics City Phase 1,2,1135,,2
Hebbal,3,1839,,2
Sarjapur,2,1170,,2
Chandapura,2,1102,,2
4th T block Jayanagar,3,1108,,1
Attur Layout,3,1449,,2
1st Block HRBR Layout,2,1360,,1
Electronics City Phase 1,2,1026,,1
Bannerghatta Road,2,1270,,2
Sarjapur  Road,2,1100,,1
Electronic City Phase II,2,1196,,2
Begur Road,3,1485,,2
Sarakki Nagar,2,1146,,1
Neeladri Nagar,1,840,,0
Chikkalasandra,2,1090,,0
Kanakapura,2,1200,,1
Basavanna Nagar,2,1200,,0
Marathahalli,3,1200,,0
Vittasandra,2,1000,,0
Electronic City,2,1200,,0
Kanakpura Road,2,900,,0
A Narayanapura,2,1140,,1
Dodda Nekkundi,2,1100,,1
Thanisandra,2,1152,,0
Thanisandra,2,1200,,1
Singasandra,2,1050,,0
Raja Rajeshwari Nagar,2,1160,,1
Yelahanka,2,1334,,1
Brooke Bond First Cross,2,900,,3
Nagarbhavi,4,1800,,2
Sarjapur  Road,3,1200,,1
Kundalahalli Colony,3,1250,,1
7th Phase JP Nagar,2,850,,0
7th Phase JP Nagar,3,1250,,2
Budigere,2,950,,2
Thanisandra,7,5000,,1.584375738
Padmanabhanagar,2,933,,0
Tasker Town,3,1550,,1
Marathahalli,3,1590,,0
"Hoodi Circle, ",3,1150,,0
Marathahalli,2,1500,,2
Sarjapur  Road,3,1350,,0
Glass Factory Layout,3,3000,,0
Thigalarapalya,1,700,,0
Raghavendra Nagar,2,1552,,1
Hennur Road,2,990,,3
Marathahalli,2,760,,2
Uttarahalli,3,4050,,2
Hebbal,4,4111,,2
Koramangala,4,4428,,2
Hoodi,3,3900,,3
Raja Rajeshwari Nagar,9,5000,,3
Milk Colony,3,1550,,2
Bannerghatta Road,2,1125,,2
Hulimavu,2,1190,,2
Ananth Nagar,1,800,,1
Tumkur Road,3,1250,,2
Basaveshwara Nagar,2,1171,,2
Electronic City,2,1200,,1
"Basnashankari,6th stage,",3,1670,,2
Coffee Board Layout,2,1140,,2
R.T. Nagar,1,600,,0
Yelahanka,2,1113,,1
CV Raman Nagar,3,1360,,1
Raja Rajeshwari Nagar,3,1312,,1
Rachenahalli,2,1113,,1
Dodda Nekkundi,2,1230,,3
Hennur Road,3,1560,,3
Haralur Road,2,1550,,3
Ardendale,2,1475,,2
Choodasandra,4,2375,,1.584375738
Jigani,4,3700,,2
Bisuvanahalli,2,1170,,2
Sarjapur  Road,2,1102,,2
Sarjapur  Road,3,1390,,2
Kaggadasapura,2,1200,,2
EPIP Zone,2,950,,1
Kathriguppe,3,1560,,3
Kanakpura Road,3,1750,,3
Whitefield,3,1385,,2
Shirdi Sai Layout,2,1080,,2
Nagavarapalya,2,1170,,2
Gottigere,3,1200,,1
Anekal,2,1030,,1
Electronic City Phase II,2,1296,,1.584375738
Sarjapur  Road,3,1550,,2
Koramangala,3,1845,,3
Near ullas theater,2,1185,,1
Varthur,2,1225,,2
Kadugodi,3,1930,,3
Hebbal,3,1600,,1
Chandapura,3,1344,,0
Amruthnagar,3,1500,,0
Rajaji Nagar,3,1855,,3
Begur Road,2,1175,,2
Karuna Nagar,3,2405,,2
Whitefield,2,1110,,2
Hennur Road,2,1110,,2
Sarjapur  Road,2,1175,,2
Kudlu,3,1710,,2
Hennur Road,2,1020,,1
Electronic City,2,1175,,1
Chandapura,2,1070,,1
Chikkakannalli,2,1239,,1
Hebbal,2,1060,,1
Electronic City,2,980,,1
Gottigere,2,883,,1
Kengeri Satellite Town,3,1525,,2
Bommenahalli,2,1200,,3
Kalyan nagar,2,883,,1
Indira Nagar,2,1070,,1
Chandapura,2,883,,1
Sarjapur  Road,2,1155,,1
Somasundara Palya,2,1003,,1
Bannerghatta Road,2,1237,,2
Thanisandra,2,883,,1
Yelahanka,2,1170,,2
Ramamurthy Nagar,2,1029.5,,0
Kothanur,2,940,,1
Kanakpura Road,2,1020,,2
Bannerghatta Road,3,1568,,2
Banashankari,2,1175,,2
Thubarahalli,3,1080,,1
Anjanapura,2,883,,1
Raja Rajeshwari Nagar,2,1020,,1
Bommasandra,2,1105,,2
Horamavu Agara,2,1022,,1
A Narayanapura,2,1020,,1
Whitefield,2,1019,,1
Bhuvaneswari Nagar,2,1020,,1
Kaval Byrasandra,2,1021,,2
Gunjur,2,1021,,2
ISRO Layout,3,1565,,2
KR Puram,5,2500,,3
Sarjapur  Road,2,1125,,2
Cottonpet,4,2150,,2
Lakshminarayana Pura,2,1250,,0
Upkar Layout,3,1789,,3
Kasavanhalli,3,1731,,3
Raja Rajeshwari Nagar,2,2400,,1
Thanisandra,4,2700,,1
Hulimavu,2,2000,,1
Doddathoguru,3,1250,,2
Yelachenahalli,3,1240,,2
Channasandra,3,1240,,2
Electronic City,2,1001,,2
Ambalipura,2,1103,,1
Marathahalli,2,1143,,1
Bannerghatta Road,2,2260,,1
Kanakpura Road,1,600,,0
Yeshwanthpur Industrial Suburb,3,1451,,1
Hosakerehalli,1,1200,,0
Akshaya Nagar,2,1209,,1
Bannerghatta Road,2,1100,,2
Electronic City,3,1495,,2
Kengeri,3,1820,,2
Panathur,3,1350,,2
Nandi Hills,3,1495,,2
Bhoganhalli,3,1630,,1
Bellandur,3,1350,,2
Uttarahalli,2,1200,,1
Thanisandra main road,3,2400,,0
Marathahalli,1,884,,2
Kengeri Satellite Town,2,1055,,2
Choodasandra,2,1223,,1
Marathahalli,2,956,,1
Ramamurthy Nagar,2,1200,,1
Rajarajeshwari nagar,3,1400,,1
Nagarbhavi,2,1145,,2
Green Glen Layout,1,710,,2
R.T. Nagar,2,1212,,1.584375738
Panathur,2,1020,,2
Whitefield,2,1120,,3
Ashirvad Colony,2,1146,,1
Hennur Road,2,1190,,2
Marathahalli,2,1050,,1
Electronics City Phase 1,5,2500,,2
Choodasandra,3,1400,,2
HRBR Layout,2,1100,,2
Lingadheeranahalli,2,1080,,1
Electronic City Phase II,4,1800,,0
Hoodi,2,1225,,3
SMV layout,2,980,,1
Peenya,4,2400,,1
Electronic City,3,1650,,2
Pattandur Agrahara,2,1500,,0
Sultan Palaya,2,1350,,2
Hegde Nagar,2,750,,0
Saptagiri Layout,1,400,,0
Vijaya Bank Layout,4,2172.65,,3
Doddabanahalli,3,2319,,2
 Electronic City,3,2430,,3
Mathikere,2,936,,0
Electronic City Phase II,2,1125,,2
Kasavanhalli,2,1315,,2
Thanisandra,2,1077,,1
Thanisandra,4,2496,,2
Mysore Road,2,1110,,2
8th Phase JP Nagar,2,1247,,1
Electronic City Phase II,2,1392,,1
Babusapalaya,1,705,,1
Hoodi,3,1300,,1
Harlur,1,705,,1
Sarjapur  Road,1,705,,1
Dairy Circle,1,705,,1
Vijayanagar,2,1335,,3
Sarjapur  Road,2,1260,,2
Kasavanhalli,4,3500,,2
Electronic City,4,3602,,1.584375738
Bommanahalli,1,500,,2
Whitefield,3,1641,,2
Electronic City,2,1178,,3
Vijayabank bank layout,2,1095,,1
Ramanjaneyanagar,3,1350,,2
Green Glen Layout,2,1250,,2
7th Phase JP Nagar,3,1520,,3
Haralur Road,2,1044,,1
Vittasandra,3,1620,,3
Brookefield,2,1265,,2
Old Airport Road,2,1100,,1
6th block Koramangala,4,3200,,2
D Group Employees Layout,2,1200,,1
Outer Ring Road East,6,2150,,3
Talaghattapura,2,1069,,1.584375738
Begur Road,3,1800,,3
Sanjay nagar,3,1360,,2
Kadugodi,2,1308,,2
Hosahalli Extension,3,1566,,1
Raja Rajeshwari Nagar,3,1485,,2
Kaggalipura,2,1302,,1
Basavangudi,2,1308,,1
1Channasandra,3,2357,,2
Kanakpura Road,3,2357,,2
TC Palaya,2,1469,,2
Tala Cauvery Layout,2,985,,1
Sarjapur  Road,3,1350,,3
Dodda Nekkundi,2,1035,,2
Balagere,4,2100,,2
Thanisandra,2,1053,,1
Raja Rajeshwari Nagar,2,1363,,2
Jalahalli East,3,2556,,2
Bellandur,1,674,,1
Uttarahalli,1,527,,0
Kodihalli,3,1167,,1
Yemlur,2,1060,,0
Basavanapura,1,640,,1
"Whitefield, ",2,1105,,2
Banashankari,2,1100,,2
Kempegowda Nagar,3,2111,,2
Bellari Road,2,1163,,2
Kanakpura Road,3,1775,,3
Anandapura,4,2363,,2
Vaderahalli,4,2342,,2
Akshayanagara East,2,967,,2
Ambalipura,3,1374,,2
Hebbal,3,1674,,1.584375738
R.T. Nagar,3,1269,,2
Haralur Road,2,1100,,2
Attibele,3,1674,,1.584375738
Kanakpura Road,2,1095,,0
Bannerghatta,4,1470,,2
Rachenahalli,2,820,,2
Mallathahalli,4,2600,,1
7th Phase JP Nagar,2,820,,2
Marathahalli,2,1100,,0
Bommasandra Industrial Area,3,2000,,1.584375738
Sarjapur  Road,3,1500,,3
Hegde Nagar,2,1116,,1
Whitefield,2,1020,,1
Hoodi,3,1415,,3
Old Madras Road,2,3000,,0
Attibele,3,1800,,2
Kammanahalli,3,1424,,3
Hennur Road,2,920,,3
Peenya,2,1140,,2
Samethanahalli,3,2000,,2
Shivaji Nagar,4,2849,,1.584375738
Hebbal,3,1942,,1
Malleshwaram,3,2420,,2
Harlur,2,1078,,3
4th Phase JP Nagar,2,1101,,2
K R C kothanur,2,1041,,2
Bommenahalli,2,1300,,2
Ramamurthy Nagar,2,1085,,1
Nyanappana Halli,3,1855,,2
Haralur Road,2,1050,,3
Bisuvanahalli,2,1165,,2
Srirampuram,2,1101,,2
Gubbalala,4,3400,,2
Sector 7 HSR Layout,3,1798,,2
HBR Layout,3,1518,,2
Ramagondanahalli,2,1161,,1
Thanisandra,2,1298,,1
Kothanur,4,2732,,1.584375738
Hosa Road,4,3356,,1.584375738
Bellandur,2,1206,,3
Yelahanka,4,2774,,1.584375738
Koramangala,4,2690,,3
Yelachenahalli,4,2690,,3
Vijayanagar,2,1655,,1
Domlur,2,1075,,2
Bhoganhalli,3,1858,,1
Doddakallasandra,2,1150,,1
Ramagondanahalli,4,2690,,3
Electronic City,4,2658,,3
Kammasandra,2,946,,2
1st Block Jayanagar,4,2774,,3
Banashankari Stage II,4,2774,,3
Bommanahalli,4,3200,,1.584375738
Harlur,4,2690,,3
Hebbal,2,1145,,2
Sultan Palaya,4,2732,,3
Raja Rajeshwari Nagar,4,2658,,3
Banashankari,4,2774,,3
Choodasandra,4,3496,,1.584375738
Kengeri Hobli,4,2774,,3
Uttarahalli,4,2732,,3
Kadugodi,3,1798,,1.584375738
Maithri Layout,4,2774,,3
Kaggadasapura,2,1184,,1
Shivaji Nagar,4,3504,,1.584375738
"Sarjapur Road, ",2,1055,,3
9th Phase JP Nagar,3,1425,,2
7th Phase JP Nagar,2,935,,1
Haralur Road,3,1720,,2
5th Phase JP Nagar,2,1200,,1
Sarjapur  Road,2,1225,,1
NRI Layout,2,1100,,1
Bommasandra,2,1171,,2
Thigalarapalya,2,935,,1
8th Phase JP Nagar,2,1065,,1
Anekal,4,2010,,2
Kanakpura Road,3,1480,,2
Electronic City,2,1210,,1
Jigani,2,1171,,2
Richards Town,3,1480,,2
Electronics City Phase 1,2,1210,,1
Indira Nagar,3,1859,,2
Yelahanka,3,2300,,2
HBR Layout,2,1210,,1
Badavala Nagar,2,1210,,1
Hennur Road,2,1330,,2
Kundalahalli,3,1720,,2
Vijayanagar,3,2990,,2
Gollarapalya Hosahalli,2,1171,,2
 Devarachikkanahalli,3,1630,,2
Koramangala,2,1165,,1
Marathahalli,2,2640,,1
Cottonpet,2,1165,,1
Rajaji Nagar,4,3300,,3
Dommasandra,4,3317.5,,0
OMBR Layout,2,1198,,1
Old Madras Road,4,4051,,3
Vijayanagar,3,1500,,0
Vignana Nagar,3,3664,,2
Budigere,3,1738,,0
Green Glen Layout,2,1242,,3
2nd Block Jayanagar,2,1206,,3
Electronic City,2,1020,,2
Whitefield,2,1176,,0
Sai Gardens,2,1258,,2
Akshaya Nagar,2,1100,,2
Varthur,4,3400,,1
Akshaya Nagar,3,4500,,2
Nelamangala,2,1200,,1
Kanakpura Road,2,1000,,1.584375738
Thanisandra,2,1067,,2
Ambedkar Nagar,2,1100,,1
Singanayakanahalli,3,2051,,1
Hennur Road,3,2051,,2
Attur Layout,2,1006,,2
Mico Layout,3,1550,,2
Uttarahalli,2,1050,,2
Malleshwaram,3,1400,,3
Electronic City,2,1100,,2
Marathahalli,2,1255,,1
Mahalakshmi Puram,2,1075,,2
Talaghattapura,2,1400,,2
Thanisandra,2,1175,,2
7th Phase JP Nagar,2,810,,2
Dasarahalli,2,1000,,2
Rayasandra,2,1000,,3
SBM Colony,6,3800,,1.584375738
Vignana Nagar,2,1068,,3
Udaya Nagar,3,1510,,2
Kanakapura,3,1480,,0
Medahalli,4,4346,,1.584375738
Electronics City Phase 1,2,1359,,1
BTM 2nd Stage,2,1438,,3
Whitefield,3,1688,,1
Sarjapur  Road,2,1198,,1
Kasavanhalli,2,1180,,1
Hebbal,3,1546,,2
Suraksha Nagar,2,1000,,1
 Whitefield,2,1109,,1
VGP Layout,2,1000,,1
Uttarahalli,2,1255,,2
Giri Nagar,2,1205,,2
Sahakara Nagar,2,1198,,1
Seegehalli,2,1235,,3
5th Block Hbr Layout,2,1210,,1
Marathahalli,2,1210,,1
Jigani,1,661,,1
Rustam Bagh Layout,2,1210,,1
Bannerghatta Road,2,1050,,2
Gottigere,2,1398,,1
Hosa Road,2,1065,,1
Bannerghatta Road,2,1007,,1
Margondanahalli,2,1210,,1
Vaishnavi Layout,2,1230,,1
Cottonpet,2,980,,1
Binny Pete,2,1075,,2
Hebbal,2,1210,,2
Sarjapur  Road,2,1343,,1
Naganathapura,3,1827,,3
Rayasandra,2,1194,,2
Yelahanka,2,1194,,2
Vimanapura,2,1194,,2
Uttarahalli,2,1194,,2
Yelahanka,2,1194,,2
Seetharampalya,2,1194,,2
Varthur,2,1194,,2
Battarahalli,2,1092,,2
Old Madras Road,2,1194,,2
Kundalahalli Colony,2,1194,,2
Kanakpura Road,2,1194,,2
Defence Colony,2,1194,,2
Housing Board Layout Vijay Nagar,2,1194,,2
Hormavu,3,1200,,3
Akshaya Nagar,2,850,,0
1st Block Jayanagar,2,850,,0
Lakshminarayana Pura,3,1900,,0
Hebbal,3,1550,,3
Subramanyapura,2,1025,,1
Thomas Town,2,1247,,1
Pragathi Nagar,2,900,,2
Gollarapalya Hosahalli,2,1302,,1
